Unnamed: 0,AC No,Name
0,1,Kamah
1,2,Trehgam
2,3,Kupwara
3,4,Lolab
4,5,Handwara
5,6,Langate
6,7,Sopore
7,8,Rafiabad
8,9,Uri
9,10,Baramulla
10,11,Gulmarg
11,12,Wagoora - Kreeri
12,13,Pattan
13,14,Sonawari
14,15,Bandipora
15,16,Gurez (ST)
16,17,Kangan (ST)
17,18,Ganderbal
18,19,Hazratbal
19,20,Khanyar
20,21,Habbakadal
21,22,Lal Chowk
22,23,Chanapora
23,24,Tadibal
24,25,Eidgah
25,26,Central Shalteng
26,27,Budgam
27,28,Beerwah
28,29,Khansahib
29,30,Chrar-i-Sharief
30,31,Chadoora
31,32,Pampore
32,33,Tral
33,34,Pulwama
34,35,Rajpora
35,36,Zainapora
36,37,Shopian
37,38,D.H. Pora
38,39,Kulgam
39,40,Devsar
40,41,Dooru
41,42,Kokernag (ST)
42,43,Anantnag West
43,44,Anantnag
44,45,Srigufwara - Bijbehara
45,46,Shangus- Anantnag East
46,47,Pahalgam
47,48,Inderwal
48,49,Kishtwar
49,50,Padder- Nagseni
50,51,Bhadarwah
51,52,Doda
52,53,Doda West
53,54,Ramban
54,55,Banihal
55,56,Gulabgarh (ST)
56,57,Reasi
57,58,Shri Mata Vaishno Devi
59,59,Udhampur West
60,60,Udhampur East
61,61,Chenani
62,62,Ramnagar (SC)
63,63,Bani
64,64,Billawar
65,65,Basohli
66,66,Jasrota
67,67,Kathua (SC)
68,68,Hiranagar
69,69,Ramgarh (SC)
70,70,Samba
71,71,Vijaypur
72,72,Bishnah (SC)
73,73,Suchetgarh (SC)
74,74,R.S. Pura-Jammu South
75,75,Bahu
76,76,Jammu East
77,77,Nagrota
78,78,Jammu West
79,79,Jammu North
80,80,Marh (SC)
81,81,Akhnoor (SC)
82,82,Chhamb
83,83,Kalakote - Sunderbani
84,84,Nowshera
85,85,Rajouri (ST)
86,86,Budhal (ST)
87,87,Thannamandi (ST)
88,88,Surankote (ST)
89,89,Poonch Haveli
90,90,Mendhar (ST)
